"age","sex","quantile","value","unit","lab"
30,"female",0.25,5.49418372319688,"x10E3/uL","WBC"
30,"female",0.35,5.98635435830048,"x10E3/uL","WBC"
30,"female",0.5,6.66311904761905,"x10E3/uL","WBC"
30,"female",0.65,7.38795266626723,"x10E3/uL","WBC"
30,"female",0.75,7.99540234375,"x10E3/uL","WBC"
30,"female",0.85,8.88604387019231,"x10E3/uL","WBC"
30,"female",0.9,9.59318416206261,"x10E3/uL","WBC"
30,"female",0.97,11.75274,"x10E3/uL","WBC"
30,"female",0.99,14.2885130434783,"x10E3/uL","WBC"
30,"female",1,NA,"x10E3/uL","WBC"
31,"female",0,NA,"x10E3/uL","WBC"
31,"female",0.01,3.19366806282722,"x10E3/uL","WBC"
31,"female",0.03,3.78182347071584,"x10E3/uL","WBC"
31,"female",0.1,4.57973549000951,"x10E3/uL","WBC"
31,"female",0.15,4.95891489361701,"x10E3/uL","WBC"
31,"female",0.25,5.49113636363636,"x10E3/uL","WBC"
31,"female",0.35,5.9837104111986,"x10E3/uL","WBC"
31,"female",0.5,6.58995811518325,"x10E3/uL","WBC"
31,"female",0.65,7.38539842726081,"x10E3/uL","WBC"
31,"female",0.75,7.99593502377179,"x10E3/uL","WBC"
31,"female",0.85,8.88941229193342,"x10E3/uL","WBC"
31,"female",0.9,9.68028092243186,"x10E3/uL","WBC"
31,"female",0.97,11.99912,"x10E3/uL","WBC"
31,"female",0.99,14.9131333333334,"x10E3/uL","WBC"
31,"female",1,NA,"x10E3/uL","WBC"
32,"female",0,NA,"x10E3/uL","WBC"
32,"female",0.01,3.19425371428571,"x10E3/uL","WBC"
32,"female",0.03,3.78257970149254,"x10E3/uL","WBC"
32,"female",0.1,4.57668010999083,"x10E3/uL","WBC"
32,"female",0.15,4.92778723404254,"x10E3/uL","WBC"
32,"female",0.25,5.48715738498789,"x10E3/uL","WBC"
32,"female",0.35,5.96040336134455,"x10E3/uL","WBC"
32,"female",0.5,6.58607368421053,"x10E3/uL","WBC"
32,"female",0.65,7.38151507208388,"x10E3/uL","WBC"
32,"female",0.75,7.9893023255814,"x10E3/uL","WBC"
32,"female",0.85,8.8813969072165,"x10E3/uL","WBC"
32,"female",0.9,9.59105636743215,"x10E3/uL","WBC"
32,"female",0.97,11.8619428571428,"x10E3/uL","WBC"
32,"female",0.99,14.3118666666668,"x10E3/uL","WBC"
32,"female",1,NA,"x10E3/uL","WBC"
33,"female",0,NA,"x10E3/uL","WBC"
33,"female",0.01,3.19401851851852,"x10E3/uL","WBC"
33,"female",0.03,3.78156731843575,"x10E3/uL","WBC"
33,"female",0.1,4.57309742647059,"x10E3/uL","WBC"
33,"female",0.15,4.89658827785818,"x10E3/uL","WBC"
33,"female",0.25,5.48345602766798,"x10E3/uL","WBC"
33,"female",0.35,5.89794891249368,"x10E3/uL","WBC"
33,"female",0.5,6.58304736842105,"x10E3/uL","WBC"
33,"female",0.65,7.33662037037037,"x10E3/uL","WBC"
33,"female",0.75,7.98347879282219,"x10E3/uL","WBC"
33,"female",0.85,8.88028225806452,"x10E3/uL","WBC"
33,"female",0.9,9.52749999999999,"x10E3/uL","WBC"
33,"female",0.97,11.7865047619048,"x10E3/uL","WBC"
33,"female",0.99,14.3050625,"x10E3/uL","WBC"
33,"female",1,NA,"x10E3/uL","WBC"
34,"female",0,NA,"x10E3/uL","WBC"
34,"female",0.01,3.19251818181818,"x10E3/uL","WBC"
34,"female",0.03,3.75039733333333,"x10E3/uL","WBC"
34,"female",0.1,4.57097026022305,"x10E3/uL","WBC"
34,"female",0.15,4.89491178650853,"x10E3/uL","WBC"
34,"female",0.25,5.48292682926829,"x10E3/uL","WBC"
34,"female",0.35,5.89803400309119,"x10E3/uL","WBC"
34,"female",0.5,6.58187466234468,"x10E3/uL","WBC"
34,"female",0.65,7.337568,"x10E3/uL","WBC"
34,"female",0.75,7.98158597662771,"x10E3/uL","WBC"
34,"female",0.85,8.84439999999998,"x10E3/uL","WBC"
34,"female",0.9,9.52955555555557,"x10E3/uL","WBC"
